time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),rain (mm)
2021-07-01T00:00,22,92,0,0
2021-07-01T01:00,22.2,90,0.1,0.1
2021-07-01T02:00,22,91,0,0
2021-07-01T03:00,21.8,92,0,0
2021-07-01T04:00,21.5,93,0,0
2021-07-01T05:00,21.2,96,0.1,0.1
2021-07-01T06:00,21.1,96,0,0
2021-07-01T07:00,21.4,95,0,0
2021-07-01T08:00,22.4,88,0,0
2021-07-01T09:00,24.3,77,0,0
2021-07-01T10:00,25.8,70,0,0
2021-07-01T11:00,26.9,64,0,0
2021-07-01T12:00,27.9,60,0,0
2021-07-01T13:00,28.4,62,0,0
2021-07-01T14:00,28.8,61,0,0
2021-07-01T15:00,29.2,60,0.2,0.2
2021-07-01T16:00,28.8,63,0.1,0.1
2021-07-01T17:00,28.4,64,0,0
2021-07-01T18:00,27.1,69,0.2,0.2
2021-07-01T19:00,25.3,75,0.3,0.3
2021-07-01T20:00,24.1,81,0,0
2021-07-01T21:00,23.4,85,0.1,0.1
2021-07-01T22:00,22.9,88,0,0
2021-07-01T23:00,22.3,92,0,0
2021-07-02T00:00,21.8,95,0,0
2021-07-02T01:00,22,93,0,0
2021-07-02T02:00,21.6,94,0,0
2021-07-02T03:00,21.4,95,0,0
2021-07-02T04:00,20.7,98,0,0
2021-07-02T05:00,20.1,99,0,0
2021-07-02T06:00,20,99,0,0
2021-07-02T07:00,20.8,97,0,0
2021-07-02T08:00,23.6,85,0,0
2021-07-02T09:00,25.4,77,0,0
2021-07-02T10:00,27,69,0,0
2021-07-02T11:00,28.5,61,0,0
2021-07-02T12:00,29.6,56,0,0
2021-07-02T13:00,30.5,53,0,0
2021-07-02T14:00,31.1,50,0,0
2021-07-02T15:00,31.4,49,0,0
2021-07-02T16:00,31.4,49,0,0
2021-07-02T17:00,30.6,51,0,0
2021-07-02T18:00,29.4,55,0.1,0.1
2021-07-02T19:00,27.5,65,0,0
2021-07-02T20:00,25.9,73,0,0
2021-07-02T21:00,24.9,79,0.2,0.2
2021-07-02T22:00,24.4,82,0.2,0.2
2021-07-02T23:00,23.6,86,0.1,0.1
2021-07-03T00:00,23,90,0,0
2021-07-03T01:00,23.3,86,0,0
2021-07-03T02:00,23.7,83,0,0
2021-07-03T03:00,23.5,84,0,0
2021-07-03T04:00,23.2,85,0,0
2021-07-03T05:00,22.7,88,0,0
2021-07-03T06:00,22.5,89,0,0
2021-07-03T07:00,22.3,91,0,0
2021-07-03T08:00,24.2,82,0,0
2021-07-03T09:00,25.9,74,0,0
2021-07-03T10:00,27.5,67,0,0
2021-07-03T11:00,29,60,0,0
2021-07-03T12:00,29.8,56,0,0
2021-07-03T13:00,30.9,52,0,0
2021-07-03T14:00,31.2,50,0,0
2021-07-03T15:00,31,50,0,0
2021-07-03T16:00,31.2,50,0,0
2021-07-03T17:00,31,50,0,0
2021-07-03T18:00,30.2,52,0,0
2021-07-03T19:00,28.9,57,0,0
2021-07-03T20:00,27.6,63,0,0
2021-07-03T21:00,26.5,68,0,0
2021-07-03T22:00,25.6,73,0,0
2021-07-03T23:00,24.6,79,0,0
2021-07-04T00:00,24.5,79,0,0
2021-07-04T01:00,24.8,77,0,0
2021-07-04T02:00,24.2,80,0,0
2021-07-04T03:00,24.6,78,0,0
2021-07-04T04:00,24.4,79,0,0
2021-07-04T05:00,24.2,81,0,0
2021-07-04T06:00,23.9,83,0,0
2021-07-04T07:00,24,84,0,0
2021-07-04T08:00,25.3,79,0,0
2021-07-04T09:00,27,71,0,0
2021-07-04T10:00,28.8,62,0,0
2021-07-04T11:00,30.3,55,0,0
2021-07-04T12:00,31.6,49,0,0
2021-07-04T13:00,32.4,48,0,0
2021-07-04T14:00,32.9,46,0,0
2021-07-04T15:00,33.1,44,0,0
2021-07-04T16:00,33.1,44,0,0
2021-07-04T17:00,32.6,45,0,0
2021-07-04T18:00,32.1,46,0,0
2021-07-04T19:00,31.1,49,0,0
2021-07-04T20:00,29.7,54,0,0
2021-07-04T21:00,28.5,59,0,0
2021-07-04T22:00,27.6,63,0,0
2021-07-04T23:00,26.5,69,0,0
2021-07-05T00:00,26.4,69,0,0
2021-07-05T01:00,25.6,74,0,0
2021-07-05T02:00,24.6,79,0,0
