Fecha,Dia,Hora,Tipo_de_accidente,Georreferencia
2021-01-01,Viernes,05:40:00,Alcance Con Estrellamiento,"25.768185, -100.248738"
2021-01-01,Viernes,07:30:00,Alcance Con Estrellamiento,"25.713039, -100.154072"
2021-01-01,Viernes,22:20:00,Alcance,"25.778058, -100.213616"
2021-01-01,Viernes,22:30:00,Atropello,"25.797157, -100.2487"
2021-01-02,Sabado,00:56:00,Alcance Con Estrellamiento,"25.785836, -100.25594"
2021-01-02,Sabado,14:40:00,Alcance Con Estrellamiento,"25.768759, -100.213128"
2021-01-02,Sabado,14:40:00,Lateral,"25.753849, -100.152558"
2021-01-03,Domingo,18:30:00,Alcance,"25.777991, -100.213637"
2021-01-03,Domingo,15:00:00,Alcance Con Estrellamiento,"25.824509, -100.226981"
2021-01-04,Lunes,12:40:00,Alcance Con Estrellamiento,"25.817888, -100.237937"
2021-01-04,Lunes,08:40:00,De Frente,"25.734161, -100.157008"
2021-01-04,Lunes,14:00:00,Alcance,"25.777951, -100.186992"
2021-01-04,Lunes,17:00:00,Alcance,"25.782198, -100.241657"
2021-01-04,Lunes,18:30:00,Lateral,"25.778826, -100.237247"
2021-01-04,Lunes,19:30:00,Alcance,"25.780424, -100.175222"
2021-01-04,Lunes,17:30:00,Lateral,"25.76886, -100.230512"
2021-01-04,Lunes,13:55:00,Lateral,"25.775619, -100.186055"
2021-01-04,Lunes,19:40:00,De Frente,"25.714898, -100.157573"
2021-01-05,Martes,08:11:00,Alcance,"25.717681, -100.177004"
2021-01-05,Martes,17:26:00,Crucero Con Huida,"25.763045, -100.260943"
2021-01-06,Miercoles,07:35:00,S/D,"25.746952, -100.186964"
2021-01-06,Miercoles,04:00:00,Alcance,"25.783908, -100.2246"
2021-01-06,Miercoles,18:00:00,Alcance Con Estrellamiento,"25.775079, -100.217471"
2021-01-06,Miercoles,18:45:00,Crucero,"25.778354, -100.181593"
2021-01-06,Miercoles,15:30:00,Crucero,"25.740994, -100.158849"
2021-01-07,Jueves,17:11:00,Alcance Con Estrellamiento,"25.728728, -100.083212"
2021-01-07,Jueves,19:20:00,Lateral,"25.786882, -100.152547"
2021-01-07,Jueves,21:35:00,Crucero,"25.788139, -100.138727"
2021-01-07,Jueves,23:10:00,Diverso (De Reversa ),"25.802193, -100.239514"
2021-01-08,Viernes,02:30:00,Alcance Con Estrellamiento,"25.758332, -100.175421"
2021-01-08,Viernes,07:00:00,Alcance,"25.777147, -100.184016"
2021-01-08,Viernes,08:32:00,Lateral Con Proyeccion,"25.776676, -100.186121"
2021-01-08,Viernes,14:00:00,Lateral,"25.773009, -100.259492"
2021-01-08,Viernes,21:30:00,Alcance,"25.776232, -100.239689"
2021-01-09,Sabado,01:25:00,Alcance Con Estrellamiento,"25.768149, -100.198403"
2021-01-09,Sabado,02:20:00,Diverso,"25.728728, -100.083212"
2021-01-09,Sabado,09:20:00,Salida De Superficie De Rodamiento,"25.756463, -100.181455"
2021-01-09,Sabado,15:50:00,Alcance Con Estrellamiento,"25.742418, -100.234704"
2021-01-09,Sabado,17:20:00,Crucero,"25.819813, -100.221034"
2021-01-09,Sabado,15:00:00,Crucero,"25.784624, -100.18998"
2021-01-09,Sabado,14:00:00,Alcance Con Estrellamiento,"25.70868, -100.163195"
2021-01-09,Sabado,14:00:00,Alcance,"25.778922, -100.179663"
2021-01-09,Sabado,18:50:00,Crucero,"25.737915, -100.163483"
2021-01-10,Domingo,10:00:00,Alcance Con Estrellamiento,"25.784466, -100.18425"
2021-01-10,Domingo,06:20:00,Alcance,"25.792463, -100.229828"
2021-01-10,Domingo,06:20:00,Alcance Con Estrellamiento,"25.727364, -100.144694"
2021-01-10,Domingo,17:40:00,Lateral,"25.784534, -100.25888"
2021-01-11,Lunes,01:35:00,Alcance,"25.79967, -100.248557"
2021-01-11,Lunes,09:12:00,Alcance Con Estrellamiento,"25.767272, -100.198354"
2021-01-11,Lunes,17:15:00,Lateral,"25.779938, -100.174992"
2021-01-11,Lunes,18:00:00,Crucero,"25.723706, -100.166423"
2021-01-12,Martes,16:48:00,Alcance,"25.756456, -100.18141"
2021-01-12,Martes,17:30:00,Lateral,"25.775785, -100.258169"
2021-01-12,Martes,03:00:00,Alcance Con Estrellamiento,"25.825591, -100.227463"
2021-01-13,Miercoles,14:10:00,Diverso,"25.781499, -100.188059"
